name,platform,release_date,meta_score,user_review
Five Nights at Freddy's VR: Help Wanted, PlayStation 4,2019,80,77
Amnesia: Rebirth, PC,2020,80,64
Assassin's Creed Valhalla, PlayStation 4,2020,80,72
Ys IX: Monstrum Nox, PlayStation 4,2021,80,82
Monster Prom 2: Monster Camp, PC,2020,80,73
Under Night In-Birth Exe:Late[cl-r], PlayStation 4,2020,80,64
Blood & Truth, PlayStation 4,2019,80,79
Going Under, PlayStation 4,2020,80,61
Torchlight II, PlayStation 4,2019,80,49
The Artful Escape, PC,2021,80,63
Neon Abyss, PlayStation 4,2020,80,74
Super Mega Baseball 3, PlayStation 4,2020,80,67
Call of Duty: Modern Warfare, PlayStation 4,2019,80,34
Dreamscaper, PC,2021,80,74
Ghost Giant, PlayStation 4,2019,80,71
Sid Meier's Civilization VI: Gathering Storm, PC,2019,80,67
Phoenix Wright: Ace Attorney Trilogy, PlayStation 4,2019,80,77
Bloodstained: Curse of the Moon 2, PC,2020,80,80
Valfaris, PlayStation 4,2019,80,70
Metro Exodus, PlayStation 4,2019,80,72
Ace Combat 7: Skies Unknown, PlayStation 4,2019,80,79
Trine 4: The Nightmare Prince, PlayStation 4,2019,80,72
Dandy Ace, PC,2021,80,87
Superliminal, PlayStation 4,2020,80,72
Wintermoor Tactics Club, PC,2020,80,#¡VALOR!
A Short Hike, PC,2019,80,86
Dauntless, PlayStation 4,2019,80,39
NEO: The World Ends With You, PlayStation 4,2021,80,85
Valorant, PC,2020,80,50
Fall Guys: Ultimate Knockout, PC,2020,80,73
Fantasy General II: Invasion, PC,2019,80,72
Puyo Puyo Tetris 2, PlayStation 4,2020,80,62
"Bury Me, My Love", PC,2019,80,31
The Legend of Heroes: Trails of Cold Steel, PlayStation 4,2019,80,86
Yakuza Kiwami, PC,2019,80,80
Final Fantasy Pixel Remaster, PC,2021,80,56
Mega Man Zero / ZX Legacy Collection, PlayStation 4,2020,80,82
Octopath Traveler, PC,2019,80,65
Lost in Random, PlayStation 4,2021,80,72
Untitled Goose Game, PlayStation 4,2019,80,69
Knockout City, PC,2021,80,66
Arise: A Simple Story, PlayStation 4,2019,80,78
Catherine Classic, PC,2019,80,81
Shantae and the Seven Sirens, PC,2020,80,61
Dicey Dungeons, PC,2019,80,82
AI: The Somnium Files, PlayStation 4,2019,80,87
NieR Replicant ver.1.22474487139..., PC,2021,80,74
WRC 9 FIA World Rally Championship, PC,2020,80,63
Visage, PlayStation 4,2020,80,74
Natsuki Chronicles, PlayStation 4,2021,80,#¡VALOR!
Essays on Empathy, PC,2021,80,#¡VALOR!
Trover Saves the Universe, PC,2019,80,79
Darkwood, PlayStation 4,2019,80,78
Call of Duty: Warzone, PC,2020,80,34
Total War: Three Kingdoms - Mandate of Heaven, PC,2020,80,68
The Sims 4: Snowy Escape, PC,2020,80,51
AVICII Invector, PlayStation 4,2019,80,69
Knockout City, PlayStation 4,2021,80,73
Scarlet Nexus, PlayStation 4,2021,80,77
Total War: Three Kingdoms - A World Betrayed, PC,2020,80,61
Autonauts, PC,2019,80,80
Children of Morta, PlayStation 4,2019,80,83
Judgment, PlayStation 4,2019,80,85
Scarlet Nexus, PC,2021,79,76
Telling Lies, PlayStation 4,2020,79,58
Atelier Dusk Trilogy Deluxe Pack, PlayStation 4,2020,79,62
DOOM Eternal: The Ancient Gods Part One, PC,2020,79,80
Star Wars Jedi: Fallen Order, PlayStation 4,2019,79,76
art of rally, PC,2020,79,67
Star Wars: Squadrons, PC,2020,79,59
Diablo II: Resurrected, PC,2021,79,32
Knights and Bikes, PlayStation 4,2019,79,77
Road 96, PC,2021,79,71
LEGO Builder's Journey, PC,2021,79,71
Planet Coaster: Console Edition, PlayStation 4,2020,79,54
Five Dates, PlayStation 4,2020,79,56
EarthNight, PlayStation 4,2020,79,68
Gravity Ghost: Deluxe Edition, PlayStation 4,2019,79,31
Immortals Fenyx Rising, PC,2020,79,76
Pirates Outlaws, PC,2020,79,81
Tails of Iron, PC,2021,79,82
Bugsnax, PlayStation 4,2020,79,77
The Walking Dead: Saints & Sinners, PlayStation 4,2020,79,82
Ocean's Heart, PC,2021,79,57
PHOGS!, PlayStation 4,2020,79,65
Hell Let Loose, PC,2021,79,65
Knights And Bikes, PC,2019,79,73
Per Aspera, PC,2020,79,67
Ion Fury, PC,2019,79,70
Shin Megami Tensei III: Nocturne HD Remaster, PC,2021,79,76
Helheim Hassle, PlayStation 4,2021,79,#¡VALOR!
The Longing, PC,2020,79,75
Blazing Chrome, PC,2019,79,74
Gato Roboto, PC,2019,79,70
Murder by Numbers, PC,2020,79,72
Call of Duty: Warzone, PlayStation 4,2020,79,42
Resident Evil 3, PlayStation 4,2020,79,65
Nioh 2: Darkness in the Capital, PlayStation 4,2020,79,70
DIRT 5, PlayStation 4,2020,79,51
Mafia: Definitive Edition, PC,2020,79,68
Star Wars: Squadrons, PlayStation 4,2020,79,56
Life is Strange 2: Episode 2 - Rules, PC,2019,79,51
Trials Rising, PlayStation 4,2019,79,66
The Last Show of Mr. Chardish, PC,2020,79,#¡VALOR!
Fury Unleashed, PC,2020,79,67
Observation, PC,2019,79,74
The Life and Suffering of Sir Brante, PC,2021,79,85
River City Girls, PlayStation 4,2019,79,65
Paper Beast, PlayStation 4,2020,79,76
Final Fantasy III Pixel Remaster, PC,2021,79,46
Wildfire, PC,2020,79,78
Arise: A Simple Story, PC,2019,79,76
FIFA 20, PlayStation 4,2019,79,12
Frostpunk: The Last Autumn, PC,2020,79,81
Untitled Goose Game, PC,2019,79,65
