name,platform,release_date,meta_score,user_review
Windbound, PlayStation 4,2020,64,51
Red Solstice 2: Survivors, PC,2021,64,50
An Airport for Aliens Currently Run by Dogs, PC,2021,64,#¡VALOR!
The Caligula Effect: Overdose, PlayStation 4,2019,64,60
Maid of Sker, PlayStation 4,2020,64,63
Ancestors: The Humankind Odyssey, PC,2019,64,58
Biomutant, PlayStation 4,2021,64,68
Pagan Online, PC,2019,64,50
Xenon Racer, PlayStation 4,2019,64,57
ChromaGun VR, PlayStation 4,2019,64,51
The Sinking City, PlayStation 4,2019,64,69
Corruption 2029, PC,2020,64,59
Snooker 19, PlayStation 4,2019,64,49
Infliction: Extended Cut, PlayStation 4,2020,64,62
Resident Evil: Resistance, PlayStation 4,2020,64,37
Sea of Solitude, PC,2019,64,65
Peaky Blinders: Mastermind, PlayStation 4,2020,64,54
Hellpoint, PC,2020,64,62
The Outer Worlds: Murder on Eridanos, PlayStation 4,2021,64,67
Vampire: The Masquerade - Shadows of New York, PC,2020,64,58
Wolfenstein: Youngblood, PlayStation 4,2019,63,26
Summer in Mara, PC,2020,63,84
198X, PC,2019,63,55
Fallout 76: Wastelanders, PlayStation 4,2020,63,60
Moons of Madness, PlayStation 4,2020,63,45
Metal Wolf Chaos XD, PlayStation 4,2019,63,63
The Suicide of Rachel Foster, PC,2020,63,71
Arcade Classics Anniversary Collection, PlayStation 4,2019,63,39
Space Junkies, PlayStation 4,2019,63,34
Skully, PlayStation 4,2020,63,#¡VALOR!
Citizens of Space, PlayStation 4,2019,63,67
Jon Shafer's At the Gates, PC,2019,63,56
King of Seas, PlayStation 4,2021,63,#¡VALOR!
What Happened, PC,2020,63,71
The Flower Collectors, PC,2020,63,60
Deliver Us The Moon: Fortuna, PC,2019,63,61
8-Bit Hordes, PlayStation 4,2019,63,30
Travis Strikes Again: No More Heroes - Complete Edition, PlayStation 4,2019,63,78
Neverwinter Nights: Enhanced Edition, PlayStation 4,2019,63,36
NASCAR Heat 5, PlayStation 4,2020,63,44
SkateBIRD, PC,2021,63,35
The Blackout Club, PC,2019,63,71
Empire of Sin, PC,2020,63,61
The Occupation, PlayStation 4,2019,63,39
Maskmaker, PlayStation 4,2021,63,#¡VALOR!
Warhammer: Chaosbane, PlayStation 4,2019,63,46
Bubsy: Paws on Fire, PlayStation 4,2019,63,76
Madden NFL 21, PlayStation 4,2020,63,2
Gods Will Fall, PlayStation 4,2021,63,63
Bookbound Brigade, PC,2020,63,#¡VALOR!
Daymare: 1998, PC,2019,62,68
Groundhog Day: Like Father Like Son, PlayStation 4,2019,62,54
Hyper Scape, PlayStation 4,2020,62,49
OVERPASS, PC,2020,62,50
Warsaw, PC,2019,62,70
Hood: Outlaws & Legends, PC,2021,62,39
Rise of Industry, PC,2019,62,81
Poison Control, PlayStation 4,2021,62,#¡VALOR!
Dangerous Driving, PlayStation 4,2019,62,38
Super Monkey Ball: Banana Blitz HD, PlayStation 4,2019,62,55
Mable & The Wood, PC,2019,62,42
Intruders: Hide and Seek, PlayStation 4,2019,62,67
Disintegration, PC,2020,62,59
Wavey The Rocket, PC,2020,62,#¡VALOR!
Conan Unconquered, PC,2019,62,47
Namco Museum Archives Vol. 1, PlayStation 4,2020,62,#¡VALOR!
Outward, PlayStation 4,2019,62,69
Bleeding Edge, PC,2020,62,52
Don't Forget Me, PC,2021,62,#¡VALOR!
Onee Chanbara ORIGIN, PC,2020,62,#¡VALOR!
Kingdom Under Fire II, PC,2019,62,56
Warparty, PC,2019,62,67
Torchlight III, PlayStation 4,2020,62,30
Predator: Hunting Grounds, PC,2020,62,50
Conception Plus: Maidens of the Twelve Stars, PlayStation 4,2019,62,44
The Complex, PC,2020,62,72
Lost Ruins, PC,2021,61,82
Tannenberg, PlayStation 4,2020,61,#¡VALOR!
Necromunda: Hired Gun, PC,2021,61,64
Hellbound, PC,2020,61,62
Wizardry: Labyrinth of Lost Souls, PC,2020,61,#¡VALOR!
The Walking Dead Onslaught, PlayStation 4,2020,61,68
Monster Jam Steel Titans 2, PlayStation 4,2021,61,55
Skully, PC,2020,61,76
Monkey King: Hero is Back, PlayStation 4,2019,61,64
Tour de France 2020, PlayStation 4,2020,61,49
Lust from Beyond, PC,2021,61,66
Override 2: Super Mech League, PC,2020,61,#¡VALOR!
Ashwalkers: A Survival Journey, PC,2021,61,#¡VALOR!
Sniper Elite V2 Remastered, PC,2019,61,42
Massira, PlayStation 4,2019,60,55
WWE 2K Battlegrounds, PlayStation 4,2020,60,48
Sheltered 2, PC,2021,60,#¡VALOR!
Fight Crab, PC,2020,60,73
The Complex, PlayStation 4,2020,60,56
Conglomerate 451, PC,2020,60,50
Tennis World Tour 2, PC,2020,60,85
Drawn to Life: Two Realms, PC,2020,60,#¡VALOR!
Alex Kidd in Miracle World DX, PlayStation 4,2021,60,65
Cyanide & Happiness - Freakpocalypse, PC,2021,60,#¡VALOR!
Windbound, PC,2020,60,53
Dead or School, PlayStation 4,2020,60,51
Truck Racing Championship, PlayStation 4,2019,60,37
Disintegration, PlayStation 4,2020,60,47
Wolcen: Lords of Mayhem, PC,2020,60,56
Super Neptunia RPG, PlayStation 4,2019,60,40
Kandagawa Jet Girls, PlayStation 4,2020,60,61
Commandos 2 HD Remaster, PC,2020,60,24
TASOMACHI: Behind the Twilight, PC,2021,60,#¡VALOR!
Jump Force, PC,2019,60,41
Terminator: Resistance, PC,2019,60,81
Twin Mirror, PlayStation 4,2020,60,48
Separation, PlayStation 4,2020,59,48
Narcos: Rise of the Cartels, PlayStation 4,2019,59,28
YIIK: A Postmodern RPG, PlayStation 4,2019,59,37
Vambrace: Cold Soul, PC,2019,59,49
Ary and the Secret of Seasons, PC,2020,59,55
Immortal Legacy: The Jade Cipher, PlayStation 4,2019,59,72
Godfall, PC,2020,59,39
Final Fantasy Crystal Chronicles: Remastered Edition, PlayStation 4,2020,59,50
Warcraft III: Reforged, PC,2020,59,6
Hellpoint, PlayStation 4,2020,59,68
Blacksad: Under the Skin, PlayStation 4,2019,59,58
Drug Dealer Simulator, PC,2020,59,64
Darksiders III: Keepers of the Void, PlayStation 4,2019,59,25
Utawarerumono Zan, PlayStation 4,2019,59,38
The Academy: The First Riddle, PC,2020,59,#¡VALOR!
Warlander, PC,2020,59,#¡VALOR!
Necromunda: Underhive Wars, PlayStation 4,2020,59,31
Asterix & Obelix XXL 3: The Crystal Menhir, PlayStation 4,2019,59,52
Crysis Remastered, PlayStation 4,2020,59,35
Space Crew, PC,2020,59,73
Clid the Snail, PlayStation 4,2021,59,73
Golem, PlayStation 4,2019,59,68
Crossroads Inn, PC,2019,59,65
The Dark Crystal: Age of Resistance Tactics, PlayStation 4,2020,59,42
Anthem, PC,2019,59,40
Forgotten Fields, PC,2021,59,#¡VALOR!
Blightbound, PC,2021,58,#¡VALOR!
Romance of the Three Kingdoms XIV, PC,2020,58,60
Bee Simulator, PC,2019,58,59
One Piece: World Seeker, PlayStation 4,2019,58,44
Jupiter & Mars, PlayStation 4,2019,58,50
Nickelodeon Kart Racers 2: Grand Prix, PlayStation 4,2020,58,69
Dread Nautical, PC,2020,58,#¡VALOR!
Black Legend, PC,2021,58,#¡VALOR!
The Suicide of Rachel Foster, PlayStation 4,2020,58,60
Sword Art Online: Alicization Lycoris, PlayStation 4,2020,58,59
The Church in the Darkness, PlayStation 4,2019,58,50
Tom Clancy's Ghost Recon: Breakpoint, PC,2019,58,27
Black Legend, PlayStation 4,2021,58,#¡VALOR!
Star Wars: Republic Commando, PlayStation 4,2021,58,72
Peaky Blinders: Mastermind, PC,2020,58,70
Paradise Lost, PC,2021,58,68
Vicious Circle, PC,2019,58,53
Fade to Silence, PC,2019,57,46
Stranger Things 3: The Game, PlayStation 4,2019,57,50
The LEGO Movie 2 Videogame, PlayStation 4,2019,57,26
Skater XL, PlayStation 4,2020,57,53
One Punch Man: A Hero Nobody Knows, PlayStation 4,2020,57,40
Foreclosed, PC,2021,57,#¡VALOR!
Griefhelm, PC,2020,57,68
Eclipse: Edge of Light, PlayStation 4,2020,57,36
Orangeblood, PC,2020,57,75
Cyberpunk 2077, PlayStation 4,2020,57,36
House Flipper, PC,2020,56,76
Neverwinter Nights: Enhanced Edition, PlayStation 4,2019,56,58
Praetorians HD Remaster, PlayStation 4,2020,56,74
Tennis World Tour 2, PlayStation 4,2020,56,68
WWE 2K Battlegrounds, PlayStation 4,2020,56,45
Necromunda: Hired Gun, PC,2021,56,58
Contra: Rogue Corps, PC,2019,56,45
VR Ping Pong Pro, PC,2019,55,53
Galaxy Warfighter, PC,2020,55,#¡VALOR!
Terminator: Resistance, PC,2019,55,84
Anthem, PC,2019,54,35
Buildings Have Feelings Too!, PC,2021,54,#¡VALOR!
The Padre, PC,2019,54,#¡VALOR!
Bakugan: Champions of Vestroia, PC,2020,53,46
Grimshade, PlayStation 4,2019,53,57
Little Friends: Dogs & Cats, PlayStation 4,2019,53,55
Buildings Have Feelings Too!, PC,2021,53,#¡VALOR!
Doctor Who: The Edge Of Time, PC,2019,52,73
Akiba's Trip: Hellbound & Debriefed, PlayStation 4,2021,52,48
Commandos 2 HD Remaster, PlayStation 4,2020,52,#¡VALOR!
Fimbul, PC,2019,52,15
Asterix & Obelix XXL 3: The Crystal Menhir, PlayStation 4,2019,52,54
Contra: Rogue Corps, PC,2019,52,42
SkateBIRD, PlayStation 4,2021,52,22
Star Horizon, PC,2020,52,#¡VALOR!
G.I. Joe: Operation Blackout, PC,2020,51,61
V-Rally 4, PC,2019,51,46
Generation Zero, PC,2019,51,56
Devil May Cry 2, PC,2019,50,79
The Forbidden Arts, PlayStation 4,2019,50,#¡VALOR!
Necromunda: Hired Gun, PC,2021,49,43
The Dark Eye : Book of Heroes, PC,2020,48,20
I Saw Black Clouds, PC,2021,48,#¡VALOR!
Monster Jam Steel Titans, PC,2019,47,40
Cooking Mama: Cookstar, PC,2020,46,68
Arc of Alchemist, PC,2020,46,35
Remothered: Broken Porcelain, PC,2020,44,63
Fimbul, PC,2019,44,#¡VALOR!
Submersed, PC,2019,44,45
Empire of Sin, PC,2020,43,48
Balan Wonderworld, PC,2021,38,66
Left Alive, PlayStation 4,2019,37,82
Eternity: The Last Unicorn, PlayStation 4,2019,36,40
Fast & Furious Crossroads, PlayStation 4,2020,35,17
Fast & Furious Crossroads, PC,2020,34,17
Dawn of Fear, PlayStation 4,2020,33,41
XIII (Remake), PC,2020,29,25
